Freq,Permittivity,Conductivity,Permittivity Uncertainty,Conductivity Uncertainty
1956250000,49.27386667,1.100406344,0.087847045,0.004193649
1962500000,49.26033333,1.098924001,0.099227483,0.003250857
1968750000,49.22003333,1.102558777,0.116713852,0.002590117
1975000000,49.13406667,1.105323155,0.104533743,0.001667718
1981250000,49.11436667,1.116723851,0.120715961,0.002158567
1987500000,49.07803333,1.127890746,0.124302306,0.003675978
1993750000,49.07623333,1.136463441,0.104904067,0.005071938
2000000000,49.104,1.146665396,0.099366644,0.006818801
2006250000,49.11936667,1.150720995,0.098280076,0.007275038
2012500000,49.1078,1.14829264,0.096380963,0.004254188
2018750000,49.081,1.148928914,0.101103313,0.002760809
2025000000,49.0359,1.151536355,0.120537422,0.005035184
2031250000,48.98003333,1.159476704,0.124621039,0.001764335
2037500000,48.9539,1.168928242,0.126507589,0.002083576
2043750000,48.91013333,1.180904705,0.119690448,0.004693614
2050000000,48.9415,1.190018077,0.11913677,0.006390465
2056250000,48.95746667,1.198421787,0.105174205,0.00590375
2062500000,48.97183333,1.200145299,0.098611426,0.006186593
2068750000,48.95376667,1.200127818,0.096390888,0.003857078
2075000000,48.92353333,1.200876705,0.092364784,0.003149956
2081250000,48.86486667,1.204374216,0.10885276,0.004007049
2087500000,48.8162,1.213326666,0.120856982,0.001880568
2093750000,48.78763333,1.224131183,0.121261426,0.002371851
2100000000,48.7519,1.234262309,0.117571595,0.004092325
2106250000,48.77856667,1.242651759,0.106132245,0.006665649
2112500000,48.81316667,1.251398107,0.091479852,0.007066741
2118750000,48.8186,1.25215508,0.09875824,0.006538485
2125000000,48.8027,1.251397945,0.099797745,0.003578026
2131250000,48.7719,1.252005152,0.094285047,0.002812699
2137500000,48.71603333,1.256702863,0.111992425,0.002395289
2143750000,48.66666667,1.267501959,0.131856639,0.001390012
2150000000,48.6454,1.276780434,0.130893354,0.002612258
2156250000,48.63293333,1.28659895,0.128763828,0.00337989
2162500000,48.62926667,1.297186383,0.115043311,0.006889779
2168750000,48.657,1.303644863,0.108435972,0.008302393
2175000000,48.6616,1.305232847,0.09718292,0.006013683
2181250000,48.64953333,1.304560441,0.091217341,0.002741344
2187500000,48.6054,1.306117054,0.113266235,0.002062014
2193750000,48.55043333,1.31191038,0.118072195,0.001595314
2200000000,48.5036,1.320353779,0.128691997,0.001122828
2206250000,48.47396667,1.332279431,0.126838848,0.003248176
2212500000,48.48463333,1.342976003,0.11728194,0.005674837
2218750000,48.5152,1.352934414,0.119808138,0.006612423
2225000000,48.51473333,1.359653003,0.108803048,0.006222997
2231250000,48.50276667,1.359270375,0.099594043,0.004533038
2237500000,48.48886667,1.356500251,0.103453629,0.003064644
2243750000,48.4404,1.360788423,0.111581047,0.0031984
2250000000,48.3875,1.366005217,0.131751167,0.00168421
2256250000,48.33983333,1.377390088,0.132744127,0.001166386
2262500000,48.32423333,1.387248594,0.135511857,0.004524581
2268750000,48.3201,1.402140487,0.133072499,0.004378864
2275000000,48.34596667,1.408609115,0.124709035,0.006266584
2281250000,48.34586667,1.41467768,0.103732027,0.005926156
2287500000,48.3485,1.414779937,0.103611003,0.003468183
2293750000,48.3182,1.412034291,0.112482399,0.000867817
2300000000,48.2964,1.414457908,0.12160477,0.001856581
2306250000,48.21,1.423020837,0.129218575,0.002370598
2312500000,48.16643333,1.43313527,0.134963748,0.000898408
2318750000,48.1626,1.447323548,0.124921215,0.001547689
2325000000,48.1592,1.458744725,0.126774564,0.007399268
2331250000,48.17303333,1.464805007,0.116612235,0.005880691
2337500000,48.18046667,1.469381995,0.10056691,0.00425877
2343750000,48.17606667,1.468319304,0.100603446,0.004179865
2350000000,48.1631,1.46856287,0.115587543,0.002980705
2356250000,48.09786667,1.470241249,0.1166001,0.003099891
2362500000,48.04463333,1.477337752,0.126716468,0.000814208
2368750000,48.01776667,1.489711068,0.119444143,0.001782874
2375000000,47.96946667,1.504145241,0.126398154,0.004186267
2381250000,47.98436667,1.514587299,0.112811583,0.007389609
2387500000,48.0099,1.522386072,0.110802121,0.006251449
2393750000,48.02436667,1.524201728,0.100869487,0.005857282
2400000000,48.0109,1.522834281,0.103228097,0.003970617
2406250000,47.98713333,1.523544139,0.106414676,0.002430725
2412500000,47.92576667,1.52613754,0.121839088,0.002571143
2418750000,47.8572,1.535282863,0.134737189,0.001786454
2425000000,47.8459,1.547300242,0.128892862,0.002648332
2431250000,47.81376667,1.562644294,0.120249754,0.007366801
2437500000,47.81663333,1.573153739,0.117249151,0.008157675
2443750000,47.85056667,1.5789993,0.102874746,0.008261424
2450000000,47.86863333,1.578814375,0.095209366,0.00676183
2456250000,47.8444,1.577542558,0.102133589,0.004607937
2462500000,47.8128,1.57874503,0.116228912,0.003024431
2468750000,47.7398,1.583227892,0.124012096,0.002859772
2475000000,47.68166667,1.593415436,0.145892986,0.002381247
2481250000,47.67513333,1.606641994,0.125006893,0.003273455
2487500000,47.6529,1.619490732,0.118479492,0.008124763
2493750000,47.67063333,1.63121889,0.110815628,0.007148578
2500000000,47.69463333,1.634171866,0.108688653,0.00889665
2506250000,47.69963333,1.633649029,0.101494548,0.006125318
2512500000,47.69556667,1.633433857,0.095078143,0.00447868
2518750000,47.6427,1.633724897,0.10855722,0.004193195
2525000000,47.58676667,1.639861486,0.121630972,0.003484132
2531250000,47.52726667,1.650737689,0.138396327,0.003034395
2537500000,47.4859,1.667253953,0.121099835,0.005305351
2543750000,47.50733333,1.676693084,0.1224636,0.008397449
2550000000,47.5318,1.687032826,0.103755915,0.005443372
2556250000,47.54816667,1.69121983,0.093578701,0.007117941
2562500000,47.54223333,1.692205796,0.089852787,0.005952516
2568750000,47.52,1.693104982,0.107191604,0.005807672
2575000000,47.4843,1.688671493,0.113531185,0.0041151
2581250000,47.4143,1.697741249,0.130076478,0.003382153
2587500000,47.3583,1.710729454,0.147958237,0.002694724
2593750000,47.33996667,1.725452825,0.127739044,0.002058041
2600000000,47.35166667,1.733759873,0.102579839,0.005851351
2606250000,47.36536667,1.746226851,0.10361903,0.009273259
2612500000,47.40253333,1.750661407,0.093412009,0.007755365
2618750000,47.38896667,1.748850106,0.089599182,0.005226125
2625000000,47.37133333,1.74490339,0.093001308,0.005403948
2631250000,47.30863333,1.747453349,0.114228251,0.004060224
2637500000,47.25793333,1.754503073,0.133542141,0.002783255
2643750000,47.2143,1.767265575,0.130674137,0.003081122
2650000000,47.19656667,1.781699504,0.131800202,0.005052902
2656250000,47.21723333,1.793075108,0.121606839,0.005143515
2662500000,47.22453333,1.803206292,0.107322147,0.008794712
2668750000,47.2422,1.807369918,0.097443573,0.007193786
2675000000,47.23876667,1.807447651,0.093168306,0.0029389
2681250000,47.21583333,1.802973511,0.100771838,0.003919225
2687500000,47.16326667,1.806234765,0.120749092,0.004061575
2693750000,47.0839,1.814534538,0.137253015,0.003429689
2700000000,47.047,1.825710933,0.139400968,0.003648669
2706250000,47.04413333,1.845758013,0.138558447,0.004516438
2712500000,47.06293333,1.855852891,0.126940787,0.00790118
2718750000,47.07593333,1.865526147,0.10623485,0.006465741
2725000000,47.08683333,1.86883484,0.106096764,0.006260206
2731250000,47.09156667,1.867127187,0.105830493,0.002916975
2737500000,47.0569,1.864011957,0.116702999,0.004129038
2743750000,46.99963333,1.866548744,0.130181962,0.004367083
2750000000,46.94836667,1.876560433,0.139086676,0.002897254
2756250000,46.90026667,1.890598505,0.151521957,0.000811337
2762500000,46.89593333,1.904286629,0.147406117,0.005432097
2768750000,46.9133,1.920906599,0.140810973,0.007098869
2775000000,46.9215,1.926785802,0.110651661,0.006508338
2781250000,46.9382,1.925815602,0.107434817,0.004641965
2787500000,46.9317,1.924454699,0.110343237,0.002184449
2793750000,46.88213333,1.923130428,0.117518608,0.003928852
2800000000,46.82763333,1.926944881,0.135155811,0.003231658
2806250000,46.77483333,1.937815581,0.146150003,0.002316691
2812500000,46.7389,1.953240494,0.151848247,0.001207601
2818750000,46.7361,1.966969743,0.141991408,0.004750078
2825000000,46.74366667,1.97938444,0.126366227,0.007527244
2831250000,46.76743333,1.985726297,0.116167178,0.006331526
