Freq,Permittivity,Conductivity,Permittivity Uncertainty,Conductivity Uncertainty
1000000000,80.86156667,0.252854107,0.012287121,0.001457574
1005000000,80.90456667,0.254768497,0.030981661,0.000464489
1010000000,80.9593,0.255927421,0.03667874,0.000851044
1015000000,80.84713333,0.255862399,0.050216066,0.001538018
1020000000,80.86206667,0.257964126,0.035729166,0.000166169
1025000000,80.83496667,0.261861885,0.058309719,0.000388342
1030000000,80.70553333,0.263572636,0.0430112,0.000255775
1035000000,80.62326667,0.267806469,0.027250382,0.000949009
1040000000,80.60983333,0.273574365,0.034531483,0.001341869
1045000000,80.75553333,0.27763428,0.079279905,0.000908284
1050000000,80.6886,0.27903663,0.020131319,0.00083248
1055000000,80.81816667,0.281781145,0.04067743,0.00068941
1060000000,80.83796667,0.280314867,0.022146407,0.00104948
1065000000,80.87546667,0.281872015,0.04819132,0.00054666
1070000000,80.85813333,0.28573793,0.029939996,0.00064011
1075000000,80.83456667,0.290990514,0.047058085,0.000711224
1080000000,80.78166667,0.292416024,0.029665019,0.000392628
1085000000,80.67573333,0.298250508,0.030696797,0.000691969
1090000000,80.62136667,0.304568747,0.04554485,0.00057414
1095000000,80.6409,0.315898832,0.02217228,0.003002014
1100000000,80.59943333,0.312600869,0.032020358,0.001386764
1105000000,80.67483333,0.308245972,0.043857991,0.004497844
1110000000,80.7317,0.31231129,0.030841693,0.000816703
1115000000,80.7901,0.311973808,0.023963305,0.001151637
1120000000,80.81036667,0.313362413,0.018596057,0.000297443
1125000000,80.8165,0.317745317,0.026268612,0.001991286
1130000000,80.78686667,0.319002526,0.029293059,0.000467786
1135000000,80.72716667,0.325677663,0.033954725,0.001214926
1140000000,80.67273333,0.33127293,0.032435526,0.000554819
1145000000,80.6017,0.335349045,0.019836582,0.003342026
1150000000,80.6097,0.344105549,0.022642438,0.001496908
1155000000,80.59596667,0.342002913,0.046428152,0.003046527
1160000000,80.6487,0.345779757,0.042473403,0.001314034
1165000000,80.68726667,0.343344449,0.017988978,0.001404218
1170000000,80.76363333,0.343484317,0.013715077,0.001009788
1175000000,80.77533333,0.342358311,0.025457874,0.002135251
1180000000,80.75183333,0.343519886,0.011751737,0.001835824
1185000000,80.72666667,0.349078434,0.024678196,0.001241338
1190000000,80.69343333,0.357464035,0.02702912,0.00162589
1195000000,80.64343333,0.367360751,0.02456773,0.000488949
1200000000,80.61623333,0.375321447,0.03030583,0.001945924
1205000000,80.5548,0.374754515,0.046663047,0.001360655
1210000000,80.6176,0.385978142,0.02110995,0.001123935
1215000000,80.7781,0.39148265,0.056526189,0.003006609
1220000000,80.73663333,0.384894156,0.016801885,0.00121709
1225000000,80.7513,0.378846969,0.030322929,0.001242549
1230000000,80.77616667,0.376508416,0.025793475,0.001177523
1235000000,80.7575,0.378180863,0.032388115,0.000550518
1240000000,80.72186667,0.383214702,0.021678176,0.001230749
1245000000,80.67126667,0.388853702,0.008936629,0.001191602
1250000000,80.62153333,0.399416608,0.032439533,0.000559281
1255000000,80.5225,0.409297838,0.070078599,0.000688914
1260000000,80.58753333,0.418142737,0.035584594,0.000773287
1265000000,80.57163333,0.42448914,0.034500193,0.001367896
